Date et heure,Adresse MAC,Emplacement,Temperature
2025-09-29 11:24:36,b8:27:eb:a2:f4:62,Poste 4,50.2
2025-09-29 11:24:38,b8:27:eb:a2:f4:62,Poste 4,50.0
2025-09-29 11:24:40,b8:27:eb:a2:f4:62,Poste 4,50.2
2025-09-29 11:24:42,b8:27:eb:a2:f4:62,Poste 4,50.0
2025-09-29 11:24:44,b8:27:eb:a2:f4:62,Poste 4,50.2
2025-09-29 11:24:46,b8:27:eb:a2:f4:62,Poste 4,50.2
2025-09-29 11:24:48,b8:27:eb:a2:f4:62,Poste 4,50.2
2025-09-29 11:24:50,b8:27:eb:a2:f4:62,Poste 4,50.5
2025-09-29 11:24:52,b8:27:eb:a2:f4:62,Poste 4,50.8
2025-09-29 11:24:54,b8:27:eb:a2:f4:62,Poste 4,50.8
2025-09-29 11:24:56,b8:27:eb:a2:f4:62,Poste 4,51.0
2025-09-29 11:24:58,b8:27:eb:a2:f4:62,Poste 4,51.2
2025-09-29 11:25:00,b8:27:eb:a2:f4:62,Poste 4,51.5
2025-09-29 11:25:02,b8:27:eb:a2:f4:62,Poste 4,52.0
2025-09-29 11:25:04,b8:27:eb:a2:f4:62,Poste 4,52.0
2025-09-29 11:25:06,b8:27:eb:a2:f4:62,Poste 4,52.5
2025-09-29 11:25:08,b8:27:eb:a2:f4:62,Poste 4,52.8
2025-09-29 11:25:10,b8:27:eb:a2:f4:62,Poste 4,53.0
2025-09-29 11:25:12,b8:27:eb:a2:f4:62,Poste 4,53.2
2025-09-29 11:25:14,b8:27:eb:a2:f4:62,Poste 4,53.5
2025-09-29 11:25:16,b8:27:eb:a2:f4:62,Poste 4,53.8
2025-09-29 11:25:18,b8:27:eb:a2:f4:62,Poste 4,54.2
2025-09-29 11:25:20,b8:27:eb:a2:f4:62,Poste 4,54.5
2025-09-29 11:25:22,b8:27:eb:a2:f4:62,Poste 4,54.8
2025-09-29 11:25:24,b8:27:eb:a2:f4:62,Poste 4,54.8
2025-09-29 11:25:26,b8:27:eb:a2:f4:62,Poste 4,55.0
2025-09-29 11:25:28,b8:27:eb:a2:f4:62,Poste 4,55.2
2025-09-29 11:25:30,b8:27:eb:a2:f4:62,Poste 4,55.5
2025-09-29 11:25:32,b8:27:eb:a2:f4:62,Poste 4,55.8
