Date et heure;Adresse MAC;Emplacement;Temperature
2025-09-29 10:37:46;b8:27:eb:a2:f4:62;Poste 4;40,2
2025-09-29 10:37:48;b8:27:eb:a2:f4:62;Poste 4;40,2
2025-09-29 10:37:50;b8:27:eb:a2:f4:62;Poste 4;40,5
2025-09-29 10:37:52;b8:27:eb:a2:f4:62;Poste 4;40,5
2025-09-29 10:37:54;b8:27:eb:a2:f4:62;Poste 4;40,8
2025-09-29 10:37:56;b8:27:eb:a2:f4:62;Poste 4;41,0
2025-09-29 10:37:58;b8:27:eb:a2:f4:62;Poste 4;41,0
2025-09-29 10:38:00;b8:27:eb:a2:f4:62;Poste 4;41,2
2025-09-29 10:38:02;b8:27:eb:a2:f4:62;Poste 4;41,2
2025-09-29 10:38:04;b8:27:eb:a2:f4:62;Poste 4;41,5
2025-09-29 10:38:06;b8:27:eb:a2:f4:62;Poste 4;41,5
2025-09-29 10:38:08;b8:27:eb:a2:f4:62;Poste 4;41,8
2025-09-29 10:38:10;b8:27:eb:a2:f4:62;Poste 4;41,8
2025-09-29 10:38:12;b8:27:eb:a2:f4:62;Poste 4;42,0
2025-09-29 10:38:14;b8:27:eb:a2:f4:62;Poste 4;42,0
2025-09-29 10:38:16;b8:27:eb:a2:f4:62;Poste 4;42,0
2025-09-29 10:38:18;b8:27:eb:a2:f4:62;Poste 4;42,2
2025-09-29 10:38:20;b8:27:eb:a2:f4:62;Poste 4;42,2
2025-09-29 10:38:22;b8:27:eb:a2:f4:62;Poste 4;42,5
2025-09-29 10:38:24;b8:27:eb:a2:f4:62;Poste 4;42,8
2025-09-29 10:38:26;b8:27:eb:a2:f4:62;Poste 4;42,8
2025-09-29 10:38:28;b8:27:eb:a2:f4:62;Poste 4;42,8
2025-09-29 10:38:30;b8:27:eb:a2:f4:62;Poste 4;43,0
2025-09-29 10:38:32;b8:27:eb:a2:f4:62;Poste 4;43,0
2025-09-29 10:38:34;b8:27:eb:a2:f4:62;Poste 4;43,0
2025-09-29 10:38:36;b8:27:eb:a2:f4:62;Poste 4;43,2
2025-09-29 10:38:38;b8:27:eb:a2:f4:62;Poste 4;43,2
2025-09-29 10:38:40;b8:27:eb:a2:f4:62;Poste 4;43,5
2025-09-29 10:38:42;b8:27:eb:a2:f4:62;Poste 4;43,5
2025-09-29 10:38:44;b8:27:eb:a2:f4:62;Poste 4;43,5
2025-09-29 10:38:46;b8:27:eb:a2:f4:62;Poste 4;43,8
2025-09-29 10:38:48;b8:27:eb:a2:f4:62;Poste 4;43,8
2025-09-29 10:38:50;b8:27:eb:a2:f4:62;Poste 4;43,8
2025-09-29 10:38:52;b8:27:eb:a2:f4:62;Poste 4;43,8
2025-09-29 10:38:54;b8:27:eb:a2:f4:62;Poste 4;43,8
2025-09-29 10:38:56;b8:27:eb:a2:f4:62;Poste 4;44,0
2025-09-29 10:38:58;b8:27:eb:a2:f4:62;Poste 4;44,0
2025-09-29 10:39:00;b8:27:eb:a2:f4:62;Poste 4;44,0
2025-09-29 10:39:02;b8:27:eb:a2:f4:62;Poste 4;44,2
2025-09-29 10:39:04;b8:27:eb:a2:f4:62;Poste 4;44,2
2025-09-29 10:39:06;b8:27:eb:a2:f4:62;Poste 4;44,2
2025-09-29 10:39:08;b8:27:eb:a2:f4:62;Poste 4;44,5
2025-09-29 10:39:10;b8:27:eb:a2:f4:62;Poste 4;44,5
2025-09-29 10:39:12;b8:27:eb:a2:f4:62;Poste 4;44,5
2025-09-29 10:39:14;b8:27:eb:a2:f4:62;Poste 4;44,5
2025-09-29 10:39:16;b8:27:eb:a2:f4:62;Poste 4;44,8
2025-09-29 10:39:18;b8:27:eb:a2:f4:62;Poste 4;44,8
2025-09-29 10:39:20;b8:27:eb:a2:f4:62;Poste 4;44,8
2025-09-29 10:39:22;b8:27:eb:a2:f4:62;Poste 4;44,8
2025-09-29 10:39:24;b8:27:eb:a2:f4:62;Poste 4;45,0
2025-09-29 10:39:26;b8:27:eb:a2:f4:62;Poste 4;45,0
2025-09-29 10:39:28;b8:27:eb:a2:f4:62;Poste 4;45,0
2025-09-29 10:39:30;b8:27:eb:a2:f4:62;Poste 4;45,2
2025-09-29 10:39:32;b8:27:eb:a2:f4:62;Poste 4;45,2
2025-09-29 10:39:34;b8:27:eb:a2:f4:62;Poste 4;45,2
2025-09-29 10:39:36;b8:27:eb:a2:f4:62;Poste 4;45,2
2025-09-29 10:39:38;b8:27:eb:a2:f4:62;Poste 4;45,5
2025-09-29 10:39:40;b8:27:eb:a2:f4:62;Poste 4;45,5
2025-09-29 10:39:42;b8:27:eb:a2:f4:62;Poste 4;45,5
2025-09-29 10:39:44;b8:27:eb:a2:f4:62;Poste 4;45,5
2025-09-29 10:39:46;b8:27:eb:a2:f4:62;Poste 4;45,8
2025-09-29 10:39:48;b8:27:eb:a2:f4:62;Poste 4;45,8
2025-09-29 10:39:50;b8:27:eb:a2:f4:62;Poste 4;45,8
2025-09-29 10:39:52;b8:27:eb:a2:f4:62;Poste 4;46,0
2025-09-29 10:39:54;b8:27:eb:a2:f4:62;Poste 4;46,0
2025-09-29 10:39:56;b8:27:eb:a2:f4:62;Poste 4;46,0
2025-09-29 10:39:58;b8:27:eb:a2:f4:62;Poste 4;46,2
2025-09-29 10:40:00;b8:27:eb:a2:f4:62;Poste 4;46,2
2025-09-29 10:40:02;b8:27:eb:a2:f4:62;Poste 4;46,5
2025-09-29 10:40:04;b8:27:eb:a2:f4:62;Poste 4;46,5
2025-09-29 10:40:06;b8:27:eb:a2:f4:62;Poste 4;46,5
